correlation,cpu_duration,gpu_duration,launch_delay
453,4202.0,1.0,0.0
465,44.0,5.0,1.0
478,1000.0,1.0,0.0
491,1063.0,4.0,0.0
503,29.0,1.0,1.0
514,5.0,0.0,2.0
529,26.0,6.0,1.0
540,5.0,3.0,3.0
551,4.0,6.0,2.0
562,5.0,2.0,2.0
579,944.0,0.0,0.0
596,6.0,1.0,3.0
1172,21.0,0.0,3.0
1174,356.0,8.0,0.0
1205,478.0,0.0,0.0
1215,4.0,5.0,2.0
1224,16.0,0.0,4.0
1226,14.0,8.0,3.0
1233,15.0,7.0,0.0
1239,5.0,8.0,3.0
1293,1385.0,0.0,0.0
1295,3.0,0.0,3.0
1297,136.0,14.0,3.0
1299,17.0,1.0,4.0
1301,13.0,5.0,3.0
1319,5.0,0.0,3.0
1321,5.0,0.0,3.0
1329,3.0,5.0,3.0
1333,14.0,1.0,3.0
1337,3.0,0.0,5.0
1339,52.0,13.0,3.0
1343,3.0,0.0,13.0
1345,3.0,14.0,10.0
1349,2.0,1.0,21.0
1351,2.0,13.0,20.0
1355,3.0,0.0,30.0
1357,3.0,12.0,28.0
1361,2.0,0.0,38.0
1363,3.0,9.0,36.0
1367,3.0,0.0,43.0
1369,2.0,9.0,42.0
1373,3.0,0.0,48.0
1375,2.0,9.0,46.0
1379,3.0,0.0,52.0
1381,3.0,8.0,50.0
1387,28.0,5.0,29.0
1389,12.0,3.0,26.0
1391,12.0,24.0,21.0
1393,3.0,1.0,42.0
1395,14.0,367.0,34.0
1397,11.0,48.0,395.0
1417,7.0,0.0,408.0
1420,4.0,11.0,404.0
1446,3.0,0.0,402.0
1456,3.0,4.0,395.0
1465,3.0,0.0,395.0
1467,3.0,8.0,392.0
1470,4.0,2.0,397.0
1472,99.0,1151.0,319.0
1528,65.0,1.0,30792.0
2835,18.0,15.0,0.0
2840,1988.0,4.0,0.0
2855,11.0,0.0,3.0
2860,5133.0,5.0,0.0
2874,16.0,1.0,0.0
2888,10.0,1.0,1.0
2919,12.0,0.0,2.0
2924,786.0,5.0,0.0
2937,624.0,0.0,0.0
2948,6.0,1.0,2.0
2961,1257.0,0.0,0.0
2970,1455.0,2.0,0.0
2985,8.0,0.0,3.0
2988,7.0,4.0,2.0
3001,1743.0,0.0,0.0
3014,2135.0,0.0,0.0
3021,9.0,1.0,2.0
3048,444.0,4.0,0.0
3056,29.0,1.0,3.0
3075,2058.0,0.0,0.0
3080,9.0,0.0,2.0
3082,1.0,0.0,3.0
3086,22.0,1.0,3.0
3090,19.0,8.0,2.0
3094,15.0,1.0,3.0
3097,4.0,1.0,4.0
3100,3.0,8.0,3.0
3103,3.0,1.0,8.0
3106,2.0,1.0,7.0
3109,4.0,8.0,4.0
3112,2.0,2.0,9.0
3115,2.0,1.0,8.0
3118,2.0,8.0,6.0
3121,3.0,2.0,10.0
3125,14.0,1.0,3.0
3156,16.0,0.0,1.0
3164,70.0,2.0,3.0
3191,2.0,0.0,3.0
3198,2.0,2.0,4.0
3205,19.0,4.0,3.0
3223,26.0,5.0,0.0
