correlation,cpu_duration,gpu_duration,launch_delay
14,3085.0,0.0,0.0
268,82.0,45.0,0.0
291,14.0,16.0,3.0
307,3.0,16.0,3.0
323,8.0,16.0,3.0
339,14.0,44.0,3.0
355,6.0,45.0,25.0
371,4.0,5.0,48.0
387,9.0,3.0,30.0
403,5.0,3.0,10.0
419,12.0,0.0,4.0
435,2.0,3.0,3.0
451,3.0,0.0,3.0
471,5.0,165.0,3.0
491,5.0,654.0,3.0
507,5.0,0.0,640.0
523,2.0,-1.0,624.0
539,2.0,0.0,609.0
555,3.0,0.0,596.0
571,3.0,0.0,579.0
804,3819.0,1.0,0.0
819,26.0,0.0,2.0
824,5253.0,5.0,0.0
837,1661.0,0.0,0.0
850,3102.0,1.0,0.0
861,11.0,2.0,2.0
872,7.0,4.0,2.0
914,15.0,1.0,1.0
927,1622.0,0.0,0.0
944,15632.0,1.0,0.0
956,48.0,0.0,2.0
967,10.0,0.0,3.0
980,1267.0,0.0,0.0
1015,16.0,15.0,2.0
1028,1787.0,2.0,0.0
1039,11.0,1.0,2.0
1050,4.0,0.0,4.0
1063,1038.0,1.0,0.0
1074,7.0,0.0,3.0
1090,35.0,0.0,0.0
1101,1370.0,1.0,0.0
2454,31.0,0.0,1.0
3062,672.0,0.0,0.0
3063,15.0,0.0,3.0
3067,668.0,4.0,1.0
3070,21.0,0.0,3.0
3073,16.0,0.0,3.0
3076,13.0,0.0,3.0
3080,202.0,0.0,2.0
3117,628.0,0.0,2.0
3130,1478.0,0.0,0.0
3150,60.0,1.0,2.0
3162,108.0,1.0,0.0
3171,2067.0,1.0,0.0
3180,27.0,0.0,3.0
3190,20.0,0.0,3.0
3198,63.0,1.0,3.0
3220,498.0,0.0,0.0
3233,775.0,0.0,1.0
3264,20.0,1.0,3.0
3276,30.0,0.0,1.0
3294,5.0,0.0,3.0
3305,8.0,1.0,2.0
3316,5.0,0.0,3.0
3331,7.0,0.0,2.0
3340,4.0,1.0,3.0
3389,19.0,0.0,1.0
3397,6.0,0.0,3.0
3398,9.0,0.0,3.0
3400,5.0,3.0,3.0
3402,5.0,1.0,4.0
3404,4.0,0.0,4.0
3406,3.0,0.0,4.0
3408,21.0,0.0,3.0
3439,4.0,0.0,3.0
3450,4.0,0.0,3.0
3469,5.0,1.0,3.0
3480,4.0,1.0,3.0
3487,3.0,1.0,3.0
3495,4.0,1.0,3.0
3504,5.0,0.0,3.0
3511,10.0,1.0,3.0
3531,4.0,0.0,4.0
3542,4.0,0.0,3.0
3548,8.0,1.0,2.0
3559,5.0,0.0,3.0
3577,3.0,0.0,3.0
3588,7.0,0.0,3.0
3599,4.0,0.0,3.0
3614,5.0,0.0,3.0
3623,4.0,0.0,3.0
3675,57.0,18.0,0.0
3705,48.0,0.0,2.0
3713,8.0,-1.0,3.0
3714,12.0,0.0,3.0
3716,7.0,4.0,2.0
3718,5.0,0.0,4.0
3720,4.0,0.0,3.0
3722,4.0,0.0,4.0
3724,4.0,0.0,3.0
3755,5.0,0.0,3.0
3766,6.0,0.0,2.0
3785,15.0,0.0,3.0
3796,5.0,1.0,3.0
3803,4.0,0.0,3.0
3811,7.0,1.0,2.0
3820,5.0,0.0,3.0
3827,6.0,1.0,2.0
3847,9.0,0.0,2.0
3858,5.0,0.0,3.0
3864,11.0,0.0,3.0
3875,21.0,0.0,0.0
3893,4.0,0.0,3.0
3935,26.0,0.0,0.0
3953,1233.0,38.0,0.0
3970,20.0,0.0,1.0
3984,28.0,6.0,0.0
4000,14.0,37.0,2.0
4030,913.0,28.0,2.0
4050,900.0,29.0,0.0
4066,11.0,39.0,3.0
4082,13.0,19.0,2.0
4101,7.0,1.0,3.0
4104,5.0,12.0,3.0
4123,11.0,0.0,3.0
4126,5.0,11.0,3.0
4138,35.0,0.0,3.0
4150,18.0,0.0,3.0
4164,8.0,0.0,2.0
4184,1085.0,1.0,0.0
4195,7.0,6.0,3.0
4206,15.0,6.0,2.0
4217,7.0,3.0,3.0
4231,6.0,7.0,3.0
4248,31.0,8.0,3.0
4267,20.0,0.0,3.0
4285,5.0,0.0,3.0
4305,958.0,143.0,0.0
4322,1235.0,255.0,0.0
4333,11.0,1.0,128.0
4345,48.0,1.0,42.0
4360,33.0,255.0,3.0
4375,7.0,210.0,202.0
4389,23.0,6.0,306.0
4398,355.0,3.0,1.0
4416,7.0,0.0,3.0
4418,15.0,0.0,2.0
4427,7.0,12.0,2.0
4433,16.0,1.0,2.0
4437,4.0,0.0,3.0
4441,47.0,16.0,3.0
4445,3.0,0.0,16.0
4448,2.0,17.0,14.0
4452,2.0,0.0,29.0
4455,3.0,17.0,26.0
4459,2.0,0.0,42.0
4462,2.0,16.0,40.0
4466,4.0,0.0,51.0
4469,3.0,16.0,48.0
4473,3.0,0.0,62.0
4476,3.0,16.0,61.0
4480,2.0,0.0,75.0
4483,2.0,16.0,73.0
4487,25.0,0.0,65.0
4490,4.0,14.0,62.0
4505,6.0,17.0,2.0
4519,4.0,17.0,3.0
4536,72.0,0.0,0.0
4550,3.0,0.0,4.0
4564,2.0,0.0,4.0
4579,3.0,0.0,4.0
4596,3.0,0.0,3.0
4613,1.0,0.0,4.0
4630,2.0,0.0,4.0
4646,4.0,0.0,2.0
4661,2.0,0.0,4.0
4700,56.0,0.0,1.0
4709,77.0,1.0,3.0
4719,4.0,1.0,4.0
4733,23.0,0.0,3.0
4746,49.0,1.0,2.0
4762,6.0,0.0,3.0
4796,663.0,0.0,0.0
4808,5.0,0.0,3.0
4824,6.0,0.0,3.0
4838,5.0,0.0,3.0
4857,23.0,0.0,3.0
4886,6.0,1.0,2.0
4896,3.0,0.0,4.0
4906,3.0,1.0,3.0
4928,5.0,1.0,3.0
4944,860.0,1.0,0.0
4955,7.0,0.0,3.0
4973,5.0,0.0,3.0
4984,6.0,0.0,3.0
4995,5.0,1.0,3.0
5006,3.0,1.0,3.0
5014,4.0,1.0,3.0
5024,3.0,1.0,3.0
5040,1214.0,0.0,1.0
5052,7.0,0.0,3.0
5064,4.0,1.0,3.0
5075,20.0,0.0,3.0
5083,5.0,1.0,3.0
5093,4.0,0.0,3.0
5106,5.0,0.0,3.0
5118,7.0,1.0,3.0
5134,7.0,1.0,2.0
5166,6.0,0.0,3.0
5178,4.0,1.0,3.0
5194,4.0,1.0,3.0
5208,5.0,0.0,2.0
5226,4.0,1.0,3.0
5255,3.0,1.0,3.0
5265,4.0,1.0,3.0
5275,3.0,0.0,4.0
5297,3.0,1.0,3.0
5311,4.0,0.0,4.0
5322,4.0,1.0,2.0
5340,5.0,0.0,3.0
5351,6.0,0.0,3.0
5362,3.0,0.0,4.0
5373,3.0,0.0,3.0
5381,3.0,1.0,3.0
5391,3.0,0.0,4.0
5406,36.0,0.0,0.0
5418,4.0,0.0,3.0
5430,5.0,0.0,3.0
5441,3.0,1.0,2.0
5449,3.0,1.0,4.0
5459,3.0,1.0,3.0
5472,3.0,0.0,4.0
5484,4.0,0.0,3.0
5500,4.0,0.0,3.0
5532,4.0,0.0,3.0
5544,3.0,0.0,4.0
5560,2.0,0.0,4.0
5574,5.0,0.0,3.0
5592,3.0,1.0,3.0
5621,4.0,1.0,3.0
5631,3.0,1.0,3.0
5641,3.0,1.0,3.0
5663,4.0,0.0,3.0
5677,3.0,0.0,3.0
5688,2.0,1.0,3.0
5706,4.0,0.0,3.0
5717,3.0,1.0,3.0
5728,2.0,1.0,3.0
5739,4.0,0.0,2.0
5747,3.0,1.0,3.0
5757,3.0,1.0,3.0
5771,3.0,0.0,4.0
5783,3.0,0.0,4.0
5795,4.0,0.0,3.0
5806,3.0,1.0,3.0
5814,3.0,1.0,3.0
5824,3.0,1.0,3.0
5837,3.0,0.0,3.0
5849,2.0,0.0,4.0
5865,3.0,0.0,4.0
5897,3.0,0.0,3.0
5909,3.0,1.0,3.0
5925,4.0,0.0,3.0
5939,3.0,0.0,3.0
5957,2.0,0.0,4.0
5986,3.0,1.0,3.0
5996,3.0,1.0,3.0
6006,3.0,0.0,4.0
6028,3.0,0.0,3.0
6042,3.0,0.0,4.0
6053,3.0,0.0,4.0
6071,4.0,0.0,3.0
6082,3.0,0.0,3.0
6093,3.0,0.0,4.0
6104,2.0,0.0,3.0
6112,3.0,1.0,3.0
6122,3.0,0.0,4.0
6136,4.0,0.0,2.0
6148,3.0,0.0,3.0
6160,2.0,0.0,4.0
6171,10.0,0.0,3.0
6179,3.0,1.0,3.0
6189,3.0,0.0,4.0
6202,3.0,0.0,3.0
6214,2.0,0.0,4.0
6230,3.0,1.0,3.0
6262,2.0,0.0,4.0
6274,3.0,1.0,3.0
6290,2.0,1.0,3.0
6304,5.0,0.0,1.0
6322,3.0,0.0,3.0
6351,3.0,1.0,3.0
6361,4.0,1.0,3.0
6371,2.0,0.0,4.0
6393,2.0,0.0,4.0
6407,3.0,1.0,3.0
6418,2.0,1.0,3.0
6436,3.0,0.0,4.0
6447,4.0,0.0,3.0
6458,2.0,1.0,3.0
6469,3.0,0.0,4.0
6477,3.0,1.0,3.0
6487,3.0,1.0,3.0
6501,3.0,1.0,3.0
6513,3.0,1.0,3.0
6525,3.0,0.0,3.0
6536,3.0,0.0,2.0
6544,2.0,0.0,4.0
6554,2.0,0.0,4.0
6567,3.0,0.0,3.0
6579,3.0,0.0,3.0
6595,3.0,0.0,3.0
6627,3.0,0.0,3.0
6639,2.0,1.0,3.0
6655,2.0,0.0,4.0
6669,2.0,0.0,3.0
6687,3.0,1.0,3.0
6716,2.0,1.0,3.0
6726,4.0,1.0,2.0
6736,3.0,0.0,4.0
6758,2.0,0.0,4.0
6772,2.0,0.0,4.0
6783,3.0,0.0,3.0
6801,3.0,0.0,3.0
6812,3.0,0.0,3.0
6823,4.0,0.0,3.0
6834,2.0,0.0,4.0
6842,3.0,1.0,3.0
6852,3.0,0.0,4.0
6866,3.0,1.0,3.0
6878,2.0,0.0,4.0
6890,3.0,0.0,4.0
6901,3.0,0.0,3.0
6909,5.0,1.0,3.0
6919,2.0,0.0,4.0
6932,4.0,0.0,2.0
6944,3.0,1.0,3.0
6960,3.0,0.0,4.0
6992,3.0,0.0,3.0
7004,3.0,1.0,3.0
7020,3.0,0.0,4.0
7034,3.0,0.0,3.0
7052,2.0,0.0,4.0
7081,3.0,0.0,4.0
7091,2.0,0.0,4.0
7101,3.0,1.0,3.0
7123,2.0,0.0,4.0
7137,3.0,0.0,3.0
